episode,volleys,max_reward,avg_reward,ent_coef
1,17,1.0600006580352783,0.8400004506111145,0.01998
2,14,0.9000005722045898,0.695000410079956,0.019960000000000002
3,17,1.080000638961792,0.9900004863739014,0.01994
4,14,0.9400005340576172,0.8900004029273987,0.01992
5,15,1.0600004196166992,0.7000002861022949,0.0199
6,14,0.9500003457069397,0.8800002336502075,0.019880000000000002
7,11,0.4999999701976776,0.455000102519989,0.01986
8,19,1.390000581741333,1.0350005626678467,0.01984
9,19,1.3600006103515625,0.9350004196166992,0.01982
10,20,1.4800004959106445,0.980000376701355,0.0198
11,21,1.550000786781311,0.9250003695487976,0.01978
12,23,1.8200007677078247,1.175000548362732,0.01976
13,17,1.1600003242492676,1.0950003862380981,0.01974
14,17,1.1700003147125244,1.0500004291534424,0.01972
15,18,1.2600007057189941,0.9900005459785461,0.0197
16,18,1.3200005292892456,0.8750003576278687,0.01968
17,15,1.0100003480911255,0.4200001657009125,0.01966
18,23,1.800000786781311,1.4850006103515625,0.01964
19,16,1.0900003910064697,0.7100002765655518,0.01962
20,23,1.8200007677078247,1.2550005912780762,0.0196
21,20,1.5000007152557373,1.0950006246566772,0.01958
22,27,2.210000514984131,1.5450005531311035,0.01956
23,24,1.8700008392333984,1.0500004291534424,0.01954
24,26,2.1200006008148193,1.5050005912780762,0.01952
25,21,1.5900006294250488,1.2100005149841309,0.0195
26,28,2.3400003910064697,1.6450004577636719,0.01948
27,19,1.3700007200241089,1.1650006771087646,0.01946
28,31,2.6399998664855957,1.2699999809265137,0.01944
29,23,1.7700008153915405,1.2550005912780762,0.01942
30,23,1.7400007247924805,1.580000638961792,0.0194
31,22,1.6300007104873657,1.3750004768371582,0.01938
32,25,1.99000084400177,1.5700006484985352,0.01936
33,34,2.859999895095825,1.8250000476837158,0.01934
34,23,1.7900007963180542,1.3350005149841309,0.01932
35,27,2.260000467300415,2.0550005435943604,0.0193
36,26,2.31000018119812,1.9900003671646118,0.01928
37,25,2.1000003814697266,1.8700006008148193,0.01926
38,31,2.7899997234344482,2.0450000762939453,0.01924
39,22,1.8000006675720215,1.6950006484985352,0.01922
40,24,1.9700007438659668,1.6600006818771362,0.0192
41,28,2.450000286102295,2.3400003910064697,0.01918
42,22,1.7000007629394531,1.6500005722045898,0.01916
43,34,3.0799994468688965,2.259999990463257,0.01914
44,31,2.7099997997283936,2.0500001907348633,0.019119999999999998
45,26,2.15000057220459,1.825000524520874,0.0191
46,25,2.1000003814697266,1.950000524520874,0.01908
47,24,1.96000075340271,1.8800005912780762,0.01906
48,30,2.629999876022339,2.055000066757202,0.019039999999999998
49,29,2.450000286102295,1.9950003623962402,0.01902
