episode,epoch,actor_loss,critic_loss,entropy,total_loss,kl
1,1,-2.514570951461792e-08,0.12842537462711334,0.8378770351409912,0.11168456077575684,-1.979060471057892e-09
1,2,0.175569087266922,0.13568921387195587,0.8378771543502808,0.29451751708984375,0.5074361562728882
2,1,-0.0,0.03756871446967125,0.838324785232544,0.02083575166761875,6.111804395914078e-10
2,2,0.06655203551054001,0.028648700565099716,0.8387715816497803,0.07845885306596756,0.16377900540828705
3,1,1.862645149230957e-09,0.02420547790825367,0.8392649292945862,0.007470536977052689,1.6763806343078613e-08
3,2,0.015757311135530472,0.018476665019989014,0.8397488594055176,0.01748938299715519,0.02541165053844452
4,1,5.587935447692871e-09,0.012593436986207962,0.8402411937713623,-0.004144161939620972,-5.77711034566164e-09
4,2,0.039977140724658966,0.008461719378829002,0.8407414555549622,0.0316912904381752,0.07377086579799652
5,1,-7.450580596923828e-09,0.006828261539340019,0.8412570357322693,-0.009912760928273201,2.3443135432898998e-08
5,2,0.006051219999790192,0.009861933067440987,0.8417729139328003,-0.0008381269872188568,0.0077522993087768555
5,3,-0.002466786652803421,0.013283850625157356,0.8422610759735107,-0.0059439316391944885,0.007709101773798466
5,4,0.014001570641994476,0.010836106725037098,0.8427302241325378,0.00806734524667263,0.047464583069086075
6,1,-1.1175870895385742e-08,0.013080013915896416,0.8432110548019409,-0.0036830343306064606,8.96397978067398e-09
6,2,-0.00433350820094347,0.009176086634397507,0.8436492681503296,-0.011929170228540897,0.010034101083874702
6,3,-0.006493505090475082,0.007306043058633804,0.844059944152832,-0.01596737466752529,0.019186917692422867
7,1,-5.122274160385132e-09,0.004850027617067099,0.8444632291793823,-0.011921016499400139,-9.487848728895187e-09
7,2,0.009469062089920044,0.005410552956163883,0.8448495268821716,-0.0018990961834788322,0.025830361992120743
8,1,-1.257285475730896e-08,0.006640264764428139,0.8452163934707642,-0.010128840804100037,-5.238689482212067e-10
8,2,0.005519429687410593,0.004657616838812828,0.8455532193183899,-0.006598729640245438,0.006571823265403509
8,3,0.004610168747603893,0.003344825701788068,0.8458349704742432,-0.008826371282339096,0.009675173088908195
8,4,0.0005188311915844679,0.0030320952646434307,0.8460713028907776,-0.013235129415988922,0.012521017342805862
8,5,-0.0028317058458924294,0.003479252103716135,0.8462774157524109,-0.016142597422003746,0.00939837284386158
8,6,-0.006597508210688829,0.004087124019861221,0.8464522957801819,-0.019303997978568077,0.010702754370868206
9,1,-2.0489096641540527e-08,0.006345903035253286,0.8465872406959534,-0.01043347455561161,2.0547304302453995e-08
9,2,-0.0012615881860256195,0.004319996573030949,0.8467282652854919,-0.013723745010793209,0.004076747689396143
9,3,-0.005017424002289772,0.004169606603682041,0.8468552827835083,-0.017632488161325455,0.006128959823399782
9,4,-0.008247015997767448,0.005357128567993641,0.8469592332839966,-0.01967661827802658,0.010481549426913261
9,5,-0.009921746328473091,0.006325895898044109,0.8470473885536194,-0.020384330302476883,0.012886576354503632
9,6,-0.012280677445232868,0.005945754237473011,0.8471546173095703,-0.023125527426600456,0.013487699441611767
10,1,-2.2351741790771484e-08,0.0026961397379636765,0.8472274541854858,-0.014078985899686813,-8.294591680169106e-09
10,2,0.0026810728013515472,0.0019090240821242332,0.8473039865493774,-0.012186522595584393,0.012166406027972698
10,3,-0.003001432865858078,0.0031824866309762,0.8473968505859375,-0.016597405076026917,0.00942220538854599
10,4,0.002216765657067299,0.004871932324022055,0.8475092649459839,-0.009691985324025154,0.01088840514421463
10,5,0.0029909685254096985,0.005764203146100044,0.8476055860519409,-0.008027419447898865,0.014368519186973572
